;meta[language=en]
; id      |key(hex)|key(str)                                                     | source                                                           | type                |actor| text
2115940899|||generic definitions|localized string||Why was the practice of necromancy forbidden?
2115940900|||generic definitions|localized string||From which element does the witcher's Quen sign derive its power?
2115940901|||generic definitions|localized string||Of all the magical elements, which one is considered the most hazardous?
; master dialogs
2115940902|||generic definitions|localized string||You need further preparation. You can make use of my ship's library.
2115940903|||generic definitions|localized string||Don't they teach you a thing in Aretuza? You've managed to answer all my questions wrong.
2115940904|||generic definitions|localized string||Very well, you're prepared. And you've already familiarized with the basic spells.
2115940905|||generic definitions|localized string||You can learn new advanced spells, or improve the ones you already know.
2115940906|||generic definitions|localized string||Remember, you must successfully perform every new spell several times before advancing to the next one.
2115940907|||generic definitions|localized string||Before moving on, you still need to practice the spell we studied last time.
2115940908|||generic definitions|localized string||Your level of magic is still insufficient to delve into new spells.
2115940909|||generic definitions|localized string||By the way, you've reached the point where you can learn new spells.
2115940910|||generic definitions|localized string||You must decide which one sparks your interest.
2115940911|||generic definitions|localized string||I see. I shall instruct you on the steps to perform this spell, and it is your task to practice and master it.
2115940912|||generic definitions|localized string||Understood. I will now explain how to execute this spell, and your responsibility will be to work it out by practicing.
2115940913|||generic definitions|localized string||I have teached you all the advanced spells. Meaning, I am currently unable to provide further knowledge.
2115940914|||generic definitions|localized string||Call me Ainyerahn. My father, a seasoned sailor, often took me along on his maritime expeditions. However, one fateful day, a tempestuous storm mercilessly wrecked our ship.
2115940915|||generic definitions|localized string||Amidst the chaos, wreckage of the ship and drowning sailors, a blinding flash consumed me, and I awake in the depths of Kaedwen's forests.
2115940916|||generic definitions|localized string||I lost my father that day, but fate granted me the chance to study at the esteemed academy of mages. Although, during my final year at Ban Ard, circumstances compelled my departure..
2115940917|||generic definitions|localized string||Since then, my focus has been on researching magical anomalies and intersections. Purposefully distant from the conflicts of the noble houses and the ignorance of the masses.
2115940918|||generic definitions|localized string||I would like to learn new spells.
2115940919|||generic definitions|localized string||Could you please remind me how to cast…
2115940985|||generic definitions|localized string||About my successes in practice…
; sorceress answers
; q0
2115940920|||generic definitions|localized string||Energy of 6 elements.
2115940921|||generic definitions|localized string||Bright flashes and sparks.
2115940922|||generic definitions|localized string||Art and science of controlling chaos.
2115940923|||generic definitions|localized string||Easy way to get what you want.
; q1A
2115940924|||generic definitions|localized string||Geoffrey Monck and Raffard the White.
2115940925|||generic definitions|localized string||Alzur and Cosimo Malaspina.
2115940926|||generic definitions|localized string||Nina Fioravanti and Aurora Henson.
2115940927|||generic definitions|localized string||Ortolan and Sorel Degerlund.
; q1B
2115940928|||generic definitions|localized string||Agnes of Glanville.
2115940929|||generic definitions|localized string||Klara Larissa de Winter.
2115940930|||generic definitions|localized string||Tissaia de Vries.
2115940931|||generic definitions|localized string||Lara Dorren aep Shiadhal.
; q2A
2115940975|||generic definitions|localized string||Goetia.
2115940976|||generic definitions|localized string||Transmutation.
2115940977|||generic definitions|localized string||Lesbomancy.
2115940978|||generic definitions|localized string||Hydromancy.
; q2B
2115940932|||generic definitions|localized string||Because it requires a huge amount of energy.
2115940933|||generic definitions|localized string||Because of a superstitious fear of the dead.
2115940934|||generic definitions|localized string||Because it always lead to entirely negative side effects, despite any motives.
2115940935|||generic definitions|localized string||Because it allows to extract information from a corpse.
; q3A/B
2115940936|||generic definitions|localized string||The Air Element.
2115940937|||generic definitions|localized string||The Water Element.
2115940938|||generic definitions|localized string||The Fire Element.
2115940939|||generic definitions|localized string||The Earth Element.
; Golem creation
2115940940|||generic definitions|localized string||Ah, greetings, apprentice. Could you assist me with something?
2115940941|||generic definitions|localized string||Yes, what happened?
2115940942|||generic definitions|localized string||Sorry, no time for this.
2115940943|||generic definitions|localized string||Before your arrival, there were moments when I found myself contemplating the insidious nature of loneliness. That's why I welcomed a feline companion into my life, and the idea of crafting a loyal golem has crossed my mind on numerous occasions.
2115940944|||generic definitions|localized string||However, every attempt I made resulted in unsatisfactory outcomes. Presently, I have the utmost confidence that, in collaboration with you, we can bring into existence an astounding creature.
2115940945|||generic definitions|localized string||Are there any risks we should be aware of?
2115940946|||generic definitions|localized string||Unless you deem a wasted obsidian heart or an unruly, hostile heap of stone as significant risks, then no.
2115940947|||generic definitions|localized string||Sure. This is gonna be interesting.
2115940948|||generic definitions|localized string||Sorry, I'm not sure I can help.
2115940949|||generic definitions|localized string||So, let us begin. I will summon the enlivening thunder, and while I do, you shall infuse it with the elements of earth and water, maintaining an equal balance.
; Я призываю звёздные молнии жизни! (Ainyerahn)
2115940950|||generic definitions|localized string||Me galwad iersann sigellen aep vita!
2115940305|||generic definitions|localized string||Me galwad iersann sigellen aep vita!
2115940951|||generic definitions|localized string||You've made a right mess of it! The elements of earth and water should have been mixed in equal parts, not skewed like this!
2115940952|||generic definitions|localized string||Hey… What is your name? What is your goal?
2115940953|||generic definitions|localized string||I am Celestine. I protect my creators, master and mistress. And do what they order.
2115940954|||generic definitions|localized string||Brilliant! We have succeeded! The aspect of water gives him extraordinary mindset. Welcome to my ship, Celestine.
2115940955|||generic definitions|localized string||Thank you, master.
; Dialogs with Celestine
2115940956|||generic definitions|localized string||Mistress. A pleasure.
2115940957|||generic definitions|localized string||Morning. Nice day.
2115940958|||generic definitions|localized string||Are you aware of yourself?
2115940959|||generic definitions|localized string||I was in the earth, water, air. Everywhere. And now I am here.
2115940960|||generic definitions|localized string||Do you have any wishes?
2115940961|||generic definitions|localized string||Calmness. Silence. Slowness.
2115940962|||generic definitions|localized string||What will you do if we disappear?
2115940963|||generic definitions|localized string||Fulfill your last will. Protect your property.
2115940964|||generic definitions|localized string||How much is eight plus four?
2115940965|||generic definitions|localized string||Hmm.. Ten two.
2115940966|||generic definitions|localized string||Do you like this place?
2115940967|||generic definitions|localized string||Yes. It is quiet, blue, beautiful.
2115940968|||generic definitions|localized string||Are you experiencing emotions?
2115940969|||generic definitions|localized string||I follow the algorithm. Anything outside of it is an annoyance. The rest is a calmness.
; Farewell
2115940970|||generic definitions|localized string||I shall wait.
2115940971|||generic definitions|localized string||Luck to you.
; Auto-onelines
2115940972|||generic definitions|localized string||I am strong as a rock.
2115940973|||generic definitions|localized string||I am nice as a crystal.
2115940974|||generic definitions|localized string||I am smart as water.
; Attack-oneliners
2115940979|||generic definitions|localized string||Intruders!
2115940980|||generic definitions|localized string||Red Alert!
2115940981|||generic definitions|localized string||Going into combat mode!
2115940982|||generic definitions|localized string||Calmness has been restored.
2115940983|||generic definitions|localized string||Intruders have been eliminated.
2115940984|||generic definitions|localized string||The creator's safety is ensured.
; 86 used
2115940987|||generic definitions|localized string||Sure, no problem.
2115940988|||generic definitions|localized string||I am ready.
; правый: вода (бирюзовый), земля (коричневый) 
; / левый: вода (бирюзовый), огонь (оранжевый), земля (коричневый), воздух (голубой)
; Я вдыхаю в тебя воду и землю! (Sorceress) -> Celestine
2115940989|||generic definitions|localized string||Me aedit'ef a'lagi shed a'ear as te!
2115940300|||generic definitions|localized string||Me aedit'ef a'lagi shed a'ear as te! [I breathe Water and Earth into you!]
; Я вдыхаю в тебя воду! (Sorceress) -> Лужица
2115940990|||generic definitions|localized string||Me aedit'ef a'lagi as te!
2115940301|||generic definitions|localized string||Me aedit'ef a'lagi as te! [I breathe Water into you!]
; Я вдыхаю в тебя огонь и землю! (Sorceress) -> Огненный голем
2115940991|||generic definitions|localized string||Me aedit'ef a'enye shed a'ear as te!
2115940302|||generic definitions|localized string||Me aedit'ef a'enye shed a'ear as te! [I breathe Fire and Earth into you!]
; Я вдыхаю в тебя землю! (Sorceress) -> Каменный голем
2115940992|||generic definitions|localized string||Me aedit'ef a'ear as te!
2115940303|||generic definitions|localized string||Me aedit'ef a'ear as te! [I breathe Earth into you!]
; Я вдыхаю в тебя воздух и землю! (Sorceress) -> Взрыв
2115940993|||generic definitions|localized string||Me aedit'ef a'eire shed a'ear as te!
2115940304|||generic definitions|localized string||Me aedit'ef a'eire shed a'ear as te! [I breathe Air and Earth into you!]
; 2115940305 used
2115940306|||generic definitions|localized string||One fella have seen your ship in the sky.
; Ох, должно быть это было после телепортации сюда. Я почти сразу накастовал заклинание невидимости.
2115940307|||generic definitions|localized string||Ah, 'twas likely after I teleported to this place. I promptly casted an invisibility spell.
2115940308|||generic definitions|localized string||So now, even a horde of witch hunters would fail to discern my presence. But, I wonder, how did you get here?
2115940309|||generic definitions|localized string||By a shard of crystal on the ground. I was able to tune in to its trail.
2115940310|||generic definitions|localized string||Blast it, true enough. My megascope shattered, and in a burst of emotion, I flung its crystal far away.
2115940311|||generic definitions|localized string||Happy new year, my teacher.
2115940312|||generic definitions|localized string||Bells are ringing, people singing, New Year's here, Happy Happy New Year!
; Пусть в окошко постучится, В полночь добрый Новый год, Всем мечтам поможет сбыться, Счастье, радость принесёт!
; Призываю осколки огня с неба! (Ainyerahn)
2115940994|||generic definitions|localized string||Invocare aedden aep aenye al uide!
2115940995|||generic definitions|localized string||Can we try to craft a golem again?
2115940996|||generic definitions|localized string||Agreed, but I request a finer attention to detail this time. I trust you've not forgotten that in Hen Llinge, "ear" stands for Earth and "lagi" for Water.
2115940997|||generic definitions|localized string||I need a portal to get back to the ground.
2115940313|||generic definitions|localized string||Eys'u failte.
2115940314|||generic definitions|localized string||Beydem.
2115940315|||generic definitions|localized string||Aen eich'te llyvaid.
;
